"","wk","cr","cr_other","trend","lcr","lcro","post","wk_num"
"183",2017-07-02,51,1005,183,3.93182563272433,6.91274282049318,0,"27"
"184",2017-07-09,30,1082,184,3.40119738166216,6.98656645940643,0,"28"
"185",2017-07-16,42,1088,185,3.73766961828337,6.99209642741589,0,"29"
"186",2017-07-23,43,1122,186,3.76120011569356,7.02286808608264,0,"30"
"187",2017-07-30,45,1126,187,3.80666248977032,7.02642680869964,0,"31"
"188",2017-08-06,42,1074,188,3.73766961828337,6.97914527506881,0,"32"
"189",2017-08-13,49,1149,189,3.89182029811063,7.04664727784876,0,"33"
"190",2017-08-20,35,1297,190,3.55534806148941,7.16780918431644,0,"34"
"191",2017-08-27,45,1207,191,3.80666248977032,7.09589322109753,0,"35"
"192",2017-09-03,53,1072,192,3.97029191355212,6.97728134163075,0,"36"
"193",2017-09-10,46,1307,193,3.8286413964891,7.17548971362422,0,"37"
"194",2017-09-17,37,1244,194,3.61091791264422,7.12608727329912,0,"38"
"195",2017-09-24,47,1277,195,3.85014760171006,7.15226885603254,0,"39"
"196",2017-10-01,42,1179,196,3.73766961828337,7.07242190053737,0,"40"
"197",2017-10-08,46,1138,197,3.8286413964891,7.03702761468628,0,"41"
"198",2017-10-15,29,1144,198,3.36729582998647,7.04228617193974,0,"42"
"199",2017-10-22,34,1184,199,3.52636052461616,7.07665381544395,0,"43"
"200",2017-10-29,39,1153,200,3.66356164612965,7.05012252026906,0,"44"
"201",2017-11-05,37,1161,201,3.61091791264422,7.05703698169789,0,"45"
"202",2017-11-12,45,1311,202,3.80666248977032,7.1785454837637,0,"46"
"203",2017-11-19,48,1015,203,3.87120101090789,6.92264389147589,0,"47"
"204",2017-11-26,52,1258,204,3.95124371858143,7.13727843726039,0,"48"
"205",2017-12-03,37,1349,205,3.61091791264422,7.20711885620776,0,"49"
"206",2017-12-10,50,1375,206,3.91202300542815,7.22620901010067,0,"50"
"207",2017-12-17,44,1636,207,3.78418963391826,7.40000951716269,0,"51"
"208",2017-12-24,44,960,208,3.78418963391826,6.86693328446188,0,"52"
"209",2017-12-31,40,1015,209,3.68887945411394,6.92264389147589,0,"53"
"210",2018-01-07,46,1085,210,3.8286413964891,6.98933526597456,0,"1"
"211",2018-01-14,32,1246,211,3.46573590279973,7.1276936993474,0,"2"
"212",2018-01-21,41,1012,212,3.71357206670431,6.91968384984741,0,"3"
"213",2018-01-28,43,881,213,3.76120011569356,6.78105762593618,0,"4"
"214",2018-02-04,38,939,214,3.63758615972639,6.84481547920826,0,"5"
"215",2018-02-11,42,1005,215,3.73766961828337,6.91274282049318,0,"6"
"216",2018-02-18,35,1999,216,3.55534806148941,7.6004023345004,0,"7"
"217",2018-02-25,42,956,217,3.73766961828337,6.8627579130514,0,"8"
"218",2018-03-04,36,1047,218,3.58351893845611,6.95368421087054,0,"9"
"219",2018-03-11,48,1157,219,3.87120101090789,7.05358572719368,0,"10"
"220",2018-03-18,42,952,220,3.73766961828337,6.85856503479136,0,"11"
"221",2018-03-25,47,1165,221,3.85014760171006,7.0604763659998,0,"12"
"222",2018-04-01,43,899,222,3.76120011569356,6.80128303447162,0,"13"
"223",2018-04-08,33,982,223,3.49650756146648,6.88959130835447,0,"14"
"224",2018-04-15,41,983,224,3.71357206670431,6.89060912014717,0,"15"
"225",2018-04-22,57,1075,225,4.04305126783455,6.98007594056176,0,"16"
"226",2018-04-29,31,1187,226,3.43398720448515,7.07918439460967,0,"17"
"227",2018-05-06,41,1141,227,3.71357206670431,7.03966034986208,0,"18"
"228",2018-05-13,41,1151,228,3.71357206670431,7.04838640872188,0,"19"
"229",2018-05-20,41,1135,229,3.71357206670431,7.0343879299155,0,"20"
"230",2018-05-27,37,1070,230,3.61091791264422,6.97541392745595,0,"21"
"231",2018-06-03,42,950,231,3.73766961828337,6.85646198459459,0,"22"
"232",2018-06-10,45,1110,232,3.80666248977032,7.01211529430638,0,"23"
"233",2018-06-17,54,1111,233,3.98898404656427,7.01301578963963,0,"24"
"234",2018-06-24,38,1113,234,3.63758615972639,7.01481435127554,0,"25"
"235",2018-07-01,45,966,235,3.80666248977032,6.87316383421252,0,"26"
"236",2018-07-08,28,1098,236,3.3322045101752,7.00124562206948,0,"27"
"237",2018-07-15,42,1091,237,3.73766961828337,6.99484998583307,0,"28"
"238",2018-07-22,51,1029,238,3.93182563272433,6.93634273583405,0,"29"
"239",2018-07-29,55,1076,239,4.00733318523247,6.98100574072173,0,"30"
"240",2018-08-05,46,1067,240,3.8286413964891,6.97260625130175,0,"31"
"241",2018-08-12,46,1097,241,3.8286413964891,7.00033446027523,0,"32"
"242",2018-08-19,31,1131,242,3.43398720448515,7.03085747611612,0,"33"
"243",2018-08-26,42,1150,243,3.73766961828337,7.0475172213573,0,"34"
"244",2018-09-02,47,1093,244,3.85014760171006,6.99668148817654,0,"35"
"245",2018-09-09,44,1258,245,3.78418963391826,7.13727843726039,0,"36"
"246",2018-09-16,42,1232,246,3.73766961828337,7.11639414409346,0,"37"
"247",2018-09-23,38,1227,247,3.63758615972639,7.11232744471091,0,"38"
"248",2018-09-30,40,1270,248,3.68887945411394,7.14677217945264,0,"39"
"249",2018-10-07,50,1146,249,3.91202300542815,7.04403289727469,0,"40"
"250",2018-10-14,39,1160,250,3.66356164612965,7.05617528410041,0,"41"
"251",2018-10-21,30,1179,251,3.40119738166216,7.07242190053737,0,"42"
"252",2018-10-28,41,1171,252,3.71357206670431,7.06561336359772,0,"43"
"253",2018-11-04,38,1253,253,3.63758615972639,7.13329595489607,0,"44"
"254",2018-11-11,42,1293,254,3.73766961828337,7.16472037877186,0,"45"
"255",2018-11-18,40,1178,255,3.68887945411394,7.07157336421153,0,"46"
"256",2018-11-25,40,1415,256,3.68887945411394,7.25488481007734,0,"47"
"257",2018-12-02,40,1755,257,3.68887945411394,7.47022413589997,0,"48"
"258",2018-12-09,41,1457,258,3.71357206670431,7.2841348061952,0,"49"
"259",2018-12-16,24,1330,259,3.17805383034795,7.1929342212158,0,"50"
"260",2018-12-23,42,1210,260,3.73766961828337,7.09837563859079,0,"51"
"261",2018-12-30,43,1077,261,3.76120011569356,6.98193467715639,1,"52"
"262",2019-01-06,37,1422,262,3.61091791264422,7.25981961036319,1,"1"
"263",2019-01-13,45,1342,263,3.80666248977032,7.20191631753163,1,"2"
"264",2019-01-20,38,1321,264,3.63758615972639,7.18614430452233,1,"3"
"265",2019-01-27,33,1033,265,3.49650756146648,6.94022246911964,1,"4"
"266",2019-02-03,32,1675,266,3.46573590279973,7.42356844425917,1,"5"
"267",2019-02-10,43,1544,267,3.76120011569356,7.34213173058472,1,"6"
"268",2019-02-17,38,1455,268,3.63758615972639,7.28276117960559,1,"7"
"269",2019-02-24,38,1080,269,3.63758615972639,6.98471632011827,1,"8"
"270",2019-03-03,33,1436,270,3.49650756146648,7.26961674960817,1,"9"
"271",2019-03-10,42,1424,271,3.73766961828337,7.26122509197192,1,"10"
"272",2019-03-17,57,1189,272,4.04305126783455,7.08086789669078,1,"11"
"273",2019-03-24,33,1138,273,3.49650756146648,7.03702761468628,1,"12"
"274",2019-03-31,32,972,274,3.46573590279973,6.87935580446044,1,"13"
"275",2019-04-07,46,1273,275,3.8286413964891,7.14913159855741,1,"14"
"276",2019-04-14,44,1262,276,3.78418963391826,7.14045304310116,1,"15"
"277",2019-04-21,42,1225,277,3.73766961828337,7.11069612297883,1,"16"
"278",2019-04-28,45,1230,278,3.80666248977032,7.11476944836646,1,"17"
"279",2019-05-05,48,1271,279,3.87120101090789,7.14755927118945,1,"18"
"280",2019-05-12,27,1271,280,3.29583686600433,7.14755927118945,1,"19"
"281",2019-05-19,36,1415,281,3.58351893845611,7.25488481007734,1,"20"
"282",2019-05-26,48,1131,282,3.87120101090789,7.03085747611612,1,"21"
"283",2019-06-02,35,1190,283,3.55534806148941,7.08170858610557,1,"22"
"284",2019-06-09,39,1209,284,3.66356164612965,7.09754885061479,1,"23"
"285",2019-06-16,48,1161,285,3.87120101090789,7.05703698169789,1,"24"
"286",2019-06-23,53,1247,286,3.97029191355212,7.12849594568004,1,"25"
"287",2019-06-30,35,1086,287,3.55534806148941,6.99025650049388,1,"26"
"288",2019-07-07,41,1143,288,3.71357206670431,7.04141166379481,1,"27"
"289",2019-07-14,41,1253,289,3.71357206670431,7.13329595489607,1,"28"
"290",2019-07-21,44,1106,290,3.78418963391826,7.00850518208228,1,"29"
"291",2019-07-28,41,1253,291,3.71357206670431,7.13329595489607,1,"30"
"292",2019-08-04,40,1185,292,3.68887945411394,7.07749805356923,1,"31"
"293",2019-08-11,47,1226,293,3.85014760171006,7.11151211649616,1,"32"
"294",2019-08-18,42,1374,294,3.73766961828337,7.22548147278229,1,"33"
"295",2019-08-25,50,1413,295,3.91202300542815,7.25347038268453,1,"34"
"296",2019-09-01,47,1262,296,3.85014760171006,7.14045304310116,1,"35"
"297",2019-09-08,49,1471,297,3.89182029811063,7.29369772060144,1,"36"
"298",2019-09-15,41,1334,298,3.71357206670431,7.19593722647557,1,"37"
"299",2019-09-22,37,1283,299,3.61091791264422,7.15695636461564,1,"38"
"300",2019-09-29,44,1304,300,3.78418963391826,7.1731917424866,1,"39"
"301",2019-10-06,48,1307,301,3.87120101090789,7.17548971362422,1,"40"
"302",2019-10-13,33,1281,302,3.49650756146648,7.15539630189673,1,"41"
"303",2019-10-20,49,1382,303,3.89182029811063,7.23128700432762,1,"42"
"304",2019-10-27,44,1443,304,3.78418963391826,7.27447955877387,1,"43"
"305",2019-11-03,46,1412,305,3.8286413964891,7.25276241805319,1,"44"
"306",2019-11-10,58,1334,306,4.06044301054642,7.19593722647557,1,"45"
"307",2019-11-17,46,1268,307,3.8286413964891,7.14519613499717,1,"46"
"308",2019-11-24,41,1948,308,3.71357206670431,7.57455848420248,1,"47"
"309",2019-12-01,45,1254,309,3.80666248977032,7.13409372119287,1,"48"
"310",2019-12-08,42,1421,310,3.73766961828337,7.2591161280971,1,"49"
"311",2019-12-15,54,1541,311,3.98898404656427,7.34018683532012,1,"50"
"312",2019-12-22,46,1022,312,3.8286413964891,6.92951677076365,1,"51"
"313",2019-12-29,21,473,313,3.04452243772342,6.15909538849193,1,"52"
